species,sla,units
Melaleuca ericifolia,8.3365423065,mm2 mg-1
Melaleuca halmaturorum,3.0354764493,mm2 mg-1
Melaleuca hamata,2.4188948286,mm2 mg-1
Melaleuca lateriflora,8.9579806527,mm2 mg-1
Melaleuca preissiana,5.2900517765,mm2 mg-1
Melaleuca spathulata,5.801018056,mm2 mg-1
Olearia lirata,12.8451605143,mm2 mg-1
Ozothamnus ferrugineus,11.7605358859,mm2 mg-1
Pittosporum angustifolium,5.239311982,mm2 mg-1
Rhagodia parabolica,11.1758045265,mm2 mg-1
Santalum spicatum,2.6154188708,mm2 mg-1
Viminaria juncea,4.8310901232,mm2 mg-1
