"","x"
"1","carbon"
"2","clay"
"3","elevation.relief"
"4","elevation"
"5","nitrogen"
"6","phosphorus"
"7","ph"
"8","log.prec.annual"
"9","prec.season"
"10","sand"
"11","silt"
"12","slope"
"13","soil.depth"
"14","solar.annual"
"15","tmax.annual"
"16","tmin.annual"
"17","TWI"
"18","log.aridity.index"
"19","log.age"
"20","log.density"
